Package_name,Country,Price,No. of Days,No. of People,Description,Start Date,End Date
Everest Summit Expedition,Nepal,500000,21,1,A challenging expedition to conquer Mount Everest's summit.,9/1/2023,9/21/2023
Luxury Nepal Getaway,Nepal,275000,10,2,An opulent getaway exploring the best of Nepal.,10/15/2023,10/24/2023
Annapurna Helicopter Tour,Nepal,375000,7,2,A lavish helicopter tour over the majestic Annapurna range.,11/5/2023,11/11/2023
Kathmandu Heritage Retreat,Nepal,150000,5,1,An exclusive retreat to immerse in Kathmandu's heritage.,12/10/2023,12/14/2023
Himalayan Yoga Escape,Nepal,275000,14,2,A rejuvenating yoga escape amidst the Himalayan tranquility.,1/15/2023,1/28/2023
Bhutan Luxury Expedition,Bhutan,425000,12,4,A luxurious expedition to explore Bhutan's hidden treasures.,2/20/2023,3/3/2023
Taj Mahal & Jaipur Tour,India,325000,9,2,Explore the Taj Mahal and the vibrant city of Jaipur in style.,3/15/2023,3/23/2023
Gosaikunda Trek,Nepal,85000,9,2,Explore the sacred alpine lake of Gosaikunda in the Langtang region.,10/10/2023,10/18/2023
Chitwan Jungle Safari,Nepal,65000,4,2,Embark on a thrilling jungle safari in Chitwan National Park.,11/20/2023,11/23/2023
Paragliding in Pokhara,Nepal,45000,2,1,Soar through the skies of Pokhara in an exhilarating paragliding adventure.,12/5/2023,12/6/2023
Lumbini Buddhist Tour,Nepal,60000,6,2,Visit the birthplace of Buddha and explore Lumbini's rich heritage.,1/10/2023,1/15/2023
Upper Mustang Trek,Nepal,95000,12,2,Trek through the mystical landscapes of Upper Mustang.,2/15/2023,2/26/2023
Maldives Overwater Bungalow,Maldives,800000,7,2,Experience luxury in an overwater bungalow in the Maldives.,3/20/2023,3/26/2023
Cultural Delights of Kyoto,Japan,375000,8,2,"Immerse in the cultural wonders of Kyoto, Japan.",4/15/2023,4/22/2023
Santorini Island Getaway,Greece,550000,7,2,Enjoy a romantic getaway on the beautiful island of Santorini.,5/10/2024,5/16/2024
Serengeti Safari Adventure,Tanzania,700000,10,4,Witness the Great Migration on a thrilling Serengeti safari.,6/15/2024,6/24/2024
Amazon Rainforest Expedition,Brazil,600000,8,2,Explore the wonders of the Amazon rainforest in Brazil.,7/10/2024,7/17/2024
Swiss Alps Ski Retreat,Switzerland,475000,7,2,Enjoy a luxurious ski retreat in the picturesque Swiss Alps.,8/5/2024,8/11/2024
Kyoto Cherry Blossom Tour,Japan,375000,9,2,"Witness the beauty of cherry blossoms in Kyoto, Japan.",9/10/2024,9/18/2024
Patagonia Trek,Argentina,625000,14,2,Trek through the stunning landscapes of Patagonia.,10/15/2024,10/28/2024
Iceland Northern Lights Tour,Iceland,550000,7,2,Chase the mesmerizing Northern Lights in Iceland.,11/20/2024,11/26/2024
Pokhara Adventure Retreat,Nepal,125000,6,2,Experience adventure and relaxation in the serene city of Pokhara.,12/10/2024,12/15/2024
Langtang Valley Trek,Nepal,95000,8,2,Trek through the picturesque Langtang Valley in Nepal.,1/15/2023,1/22/2023
Annapurna Base Camp Trek,Nepal,115000,9,2,Hike to the breathtaking Annapurna Base Camp in the Himalayas.,2/20/2023,2/28/2024
Rara Lake Wilderness Tour,Nepal,165000,10,4,Explore the pristine wilderness of Rara Lake in Nepal.,3/10/2023,3/20/2023
Everest Base Camp Expedition,Nepal,275000,14,2,Embark on a challenging expedition to Everest Base Camp.,4/5/2023,4/18/2023
Swiss Alps Winter Wonderland,Switzerland,575000,8,4,Experience the magic of the Swiss Alps in winter.,5/25/2024,6/1/2024
Kenya Wildlife Safari,Kenya,725000,12,6,Explore the diverse wildlife of Kenya's national parks.,6/30/2024,7/11/2024
Galapagos Island Expedition,Ecuador,650000,9,3,Discover the unique biodiversity of the Galapagos Islands.,7/25/2024,8/2/2024
Venice and Tuscany Discovery,Italy,485000,10,2,Explore the historic treasures of Venice and Tuscany.,8/30/2024,9/8/2024
Bhutan Cultural Journey,Bhutan,420000,7,5,Immerse in Bhutan's rich culture and stunning landscapes.,9/15/2024,9/21/2024
Patagonia Glacier Cruise,Argentina,675000,7,8,Cruise through the pristine fjords of Patagonia.,10/25/2024,11/1/2024
Japan Cherry Blossom Tour,Japan,385000,11,2,Witness the breathtaking cherry blossoms in Japan.,11/10/2024,11/20/2024
Maldives Water Villa Escape,Maldives,950000,6,4,Relax in a luxurious water villa in the Maldives.,12/30/2024,1/4/2025
Swiss Ski and Spa Retreat,Switzerland,525000,5,2,Enjoy skiing and relaxation in the Swiss Alps.,1/20/2025,1/24/2025
Paris City of Lights Tour,France,335000,4,3,Explore the romantic city of Paris and its iconic landmarks.,2/25/2025,2/28/2025
Iceland Golden Circle Adventure,Iceland,450000,6,6,Discover Iceland's Golden Circle and its natural wonders.,3/25/2025,3/30/2025
Safari and Beach Getaway,Tanzania,725000,10,4,Combine a thrilling safari with a relaxing beach vacation.,4/10/2025,4/20/2025
Cambodia Temples Exploration,Cambodia,400000,7,4,Explore the ancient temples and rich history of Cambodia.,1/10/2025,1/16/2025
Bali Beach Retreat,Indonesia,525000,6,4,Relax on the beautiful beaches of Bali.,6/20/2024,6/25/2024
Thai Adventure,Thailand,695000,10,6,Explore the adventurous side of Thailand.,7/15/2024,7/24/2024
Seoul City Exploration,South Korea,450000,5,2,"Discover the vibrant city of Seoul, South Korea.",8/10/2024,8/14/2024
Himalayan Trek,Nepal,650000,12,5,Trek through the breathtaking landscapes of Nepal.,9/15/2024,9/26/2024
Tilocho Lake Wilderness,Nepal,525000,7,3,Explore the pristine Tilocho Lake in Far Western Nepal.,10/20/2024,10/26/2024
Nepal Bungee Adventure,Nepal,425000,4,2,Experience thrilling bungee jumping in Nepal.,11/10/2024,11/13/2024
Far Western Nepal Expedition,Nepal,600000,9,4,Embark on an expedition to Far Western Nepal.,12/15/2024,12/23/2024
Manang Mountain Retreat,Nepal,550000,7,6,Retreat in the serene mountain landscapes of Manang.,1/20/2025,1/26/2025
Mustang Muktinath Pilgrimage,Nepal,475000,8,3,Embark on a spiritual pilgrimage to Mustang Muktinath.,2/15/2025,2/22/2025
Bali Yoga Retreat,Indonesia,625000,7,4,Rejuvenate with yoga and relaxation in Bali.,3/20/2025,3/26/2025
Phuket Island Adventure,Thailand,725000,11,5,Explore the beautiful island of Phuket in Thailand.,4/15/2025,4/26/2025
Jeju Island Discovery,South Korea,475000,9,2,"Discover the natural beauty of Jeju Island, South Korea.",5/10/2025,5/18/2025
Jeju Island Getaway,South Korea,550000,5,4,Relax on the beautiful beaches of Jeju Island.,1/10/2025,1/15/2025
Mustang Mountain Retreat,Nepal,475000,7,2,Retreat in the serene mountain landscapes of Mustang.,2/15/2025,2/21/2025
Raja Ampat Diving Expedition,Indonesia,725000,8,4,Dive into the stunning underwater world of Raja Ampat.,3/20/2025,3/28/2025
Phi Phi Island Paradise,Thailand,625000,7,3,Enjoy the paradise of Phi Phi Islands in Thailand.,4/10/2025,4/17/2025
Gyeongju Historical Tour,South Korea,475000,6,5,Explore the rich history of Gyeongju in South Korea.,5/15/2025,5/20/2025
Komodo Island Expedition,Indonesia,725000,9,6,Explore the unique wildlife and landscapes of Komodo Island.,6/25/2024,7/3/2024
Krabi Adventure,Thailand,575000,8,4,Experience thrilling adventures in the beautiful Krabi region.,7/20/2024,7/27/2024
Seoul and Busan Exploration,South Korea,525000,10,3,Discover the vibrant cities of Seoul and Busan in South Korea.,8/25/2024,9/3/2024
Langtang Valley Trek,Nepal,625000,11,5,Trek through the scenic Langtang Valley in Nepal.,9/30/2024,10/10/2024
Bali Waterfall Retreat,Indonesia,550000,6,2,Enjoy a peaceful retreat near beautiful Bali waterfalls.,10/20/2024,10/25/2024
Chiang Rai Cultural Experience,Thailand,450000,7,3,Immerse in the rich culture and history of Chiang Rai.,11/15/2024,11/21/2024
Annapurna Base Camp Trek,Nepal,675000,14,6,Trek to the stunning Annapurna Base Camp in Nepal.,12/10/2024,12/24/2024
Jeju Island Adventure,South Korea,525000,8,4,Embark on an adventure exploring Jeju Island's natural beauty.,1/10/2025,1/18/2025
Upper Mustang Expedition,Nepal,600000,12,5,Explore the hidden treasures of Upper Mustang in Nepal.,2/10/2025,2/21/2025
Bali Surfing Retreat,Indonesia,695000,7,3,Enjoy a surfing retreat on Bali's famous waves.,3/15/2025,3/21/2025
Koh Samui Beach Paradise,Thailand,825000,6,2,Relax on the pristine beaches of Koh Samui.,4/15/2025,4/20/2025
Seoul and Jeju Island Escape,South Korea,550000,9,4,Explore the vibrant city of Seoul and the beauty of Jeju Island.,5/20/2025,5/29/2025
Jakarta Urban Exploration,Indonesia,450000,5,2,"Discover the vibrant city life of Jakarta, Indonesia.",6/20/2024,6/24/2024
Phuket Island Paradise,Thailand,650000,7,4,"Enjoy the tropical paradise of Phuket, Thailand.",7/15/2024,7/21/2024
Busan Beach Getaway,South Korea,525000,6,3,"Relax on the beautiful beaches of Busan, South Korea.",8/10/2024,8/15/2024
Langtang Valley Trek,Nepal,600000,10,5,Trek through the picturesque Langtang Valley in Nepal.,9/15/2024,9/24/2024
Bali Cultural Immersion,Indonesia,475000,8,4,"Immerse in the rich culture of Bali, Indonesia.",10/20/2024,10/27/2024
Krabi Adventure,Thailand,550000,9,6,"Embark on adventurous activities in Krabi, Thailand.",11/15/2024,11/24/2024
Annapurna Circuit Trek,Nepal,725000,15,6,Trek the challenging Annapurna Circuit in Nepal.,12/10/2024,12/25/2024
Jeju Island Discovery,South Korea,525000,7,3,"Explore the natural beauty of Jeju Island, South Korea.",1/10/2025,1/16/2025
Mustang Muktinath Pilgrimage,Nepal,475000,9,4,Embark on a spiritual pilgrimage to Mustang Muktinath.,2/15/2025,2/23/2025
Lombok Beach Retreat,Indonesia,675000,6,2,"Relax on the pristine beaches of Lombok, Indonesia.",3/15/2025,3/20/2025
Chiang Mai Elephant Encounter,Thailand,550000,5,2,Experience an unforgettable encounter with elephants in Chiang Mai.,4/10/2025,4/14/2025
Seoul and Gangnam City Escape,South Korea,725000,8,4,Explore the vibrant city life of Seoul and Gangnam district.,5/15/2025,5/22/2025
Ubud Cultural Retreat,Indonesia,525000,7,4,"Immerse in the cultural richness of Ubud, Bali.",6/25/2024,7/1/2024
Krabi Island Adventure,Thailand,675000,9,6,Explore the pristine islands and waters of Krabi.,7/20/2024,7/28/2024
Busan Cultural Exploration,South Korea,475000,6,3,"Discover the cultural treasures of Busan, South Korea.",8/25/2024,8/30/2024
Annapurna Base Camp Trek,Nepal,725000,14,5,Trek to the stunning Annapurna Base Camp in Nepal.,9/30/2024,10/13/2024
Bali Wellness Retreat,Indonesia,550000,8,4,Rejuvenate your body and mind with a wellness retreat in Bali.,10/25/2024,11/1/2024
Chiang Rai Adventure,Thailand,625000,10,6,Embark on an adventurous journey through Chiang Rai.,11/20/2024,11/30/2024
Everest Base Camp Expedition,Nepal,800000,16,5,Conquer Everest Base Camp and witness its majesty.,12/15/2024,12/30/2024
Gyeongju Heritage Tour,South Korea,450000,5,3,Explore the rich historical heritage of Gyeongju.,1/20/2025,1/24/2025
Raja Ampat Diving Adventure,Indonesia,750000,7,4,"Dive into the pristine waters of Raja Ampat, Indonesia.",2/15/2025,2/21/2025
Pai Relaxation Getaway,Thailand,525000,6,2,Unwind and relax in the tranquil atmosphere of Pai.,3/20/2025,3/25/2025
Seoul Cityscape Exploration,South Korea,475000,7,3,Discover the mesmerizing cityscape of Seoul.,4/10/2025,4/16/2025
Langtang Valley Expedition,Nepal,675000,12,4,Embark on an expedition to the remote Langtang Valley.,5/15/2025,5/26/2025
Dolakha Himalayan Trek,Nepal,575000,8,4,Trek through the pristine Himalayan landscapes of Dolakha.,6/20/2024,6/27/2024
Janakpur Cultural Journey,Nepal,425000,6,3,"Explore the cultural heritage of Janakpur, Nepal.",7/15/2024,7/20/2024
Chitwan Wildlife Safari,Nepal,650000,7,2,"Experience a thrilling wildlife safari in Chitwan National Park, Nepal.",8/10/2024,8/16/2024
Bardia Jungle Expedition,Nepal,725000,9,6,"Embark on an adventurous jungle expedition in Bardia, Nepal.",9/15/2024,9/23/2024
Rara Lake Retreat,Nepal,575000,6,3,Relax by the serene Rara Lake in the remote far-western Nepal.,10/20/2024,10/25/2024
Lumbini Spiritual Tour,Nepal,450000,5,2,"Discover the spiritual significance of Lumbini, Nepal.",11/20/2024,11/24/2024
Mustang Cultural Exploration,Nepal,525000,8,4,Explore the rich culture of Mustang in the Himalayas.,12/15/2024,12/22/2024
Rara Lake Adventure,Nepal,675000,12,5,Embark on an adventurous journey to the Rara Lake region.,1/10/2025,1/21/2025
Dolakha Mountain Expedition,Nepal,600000,11,6,"Embark on a challenging mountain expedition in Dolakha, Nepal.",2/10/2025,2/21/2025
Janakpur Temples and Culture,Nepal,475000,7,3,Explore the ancient temples and rich culture of Janakpur.,3/15/2025,3/21/2025
Chitwan Wildlife Adventure,Nepal,725000,10,4,"Experience the thrill of wildlife in Chitwan National Park, Nepal.",4/10/2025,4/20/2025
Bardia Jungle Retreat,Nepal,550000,7,2,"Retreat in the pristine wilderness of Bardia, Nepal.",5/15/2025,5/21/2025
Sydney Harbor Exploration,Australia,850000,7,4,"Explore the iconic landmarks around Sydney Harbor, Australia.",6/20/2024,6/27/2024
New Zealand Adventure,New Zealand,775000,10,6,Embark on an adventurous journey through the landscapes of New Zealand.,7/15/2024,7/25/2024
Grand USA Road Trip,United States,1000000,14,4,Experience the ultimate road trip across the United States.,8/10/2024,8/24/2024
London City Escape,England,625000,6,2,"Enjoy a city escape in the heart of London, England.",9/15/2024,9/20/2024
Canadian Rockies Exploration,Canada,925000,12,5,Explore the stunning Canadian Rockies and national parks.,10/20/2024,10/31/2024
Tokyo City Adventure,Japan,750000,8,3,"Discover the vibrant city life of Tokyo, Japan.",11/20/2024,11/28/2024
Great Barrier Reef Expedition,Australia,950000,9,6,Dive into the underwater wonders of the Great Barrier Reef.,12/15/2024,12/23/2024
New Zealand Wine Tour,New Zealand,675000,7,4,Indulge in a wine tour and culinary delights in New Zealand.,1/10/2025,1/16/2025
American National Parks Tour,United States,925000,15,6,Explore the beauty of America's national parks and landscapes.,2/10/2025,2/24/2025
London Theater Experience,England,575000,5,3,Immerse in the world of London theater and culture.,3/15/2025,3/19/2025
Canadian Wilderness Retreat,Canada,850000,11,5,Retreat in the pristine Canadian wilderness.,4/10/2025,4/20/2025
Kyoto Zen Retreat,Japan,700000,7,2,"Experience Zen and tranquility in Kyoto, Japan.",5/15/2025,5/21/2025
Melbourne Culture and Arts,Australia,725000,8,4,"Explore the vibrant culture and arts scene in Melbourne, Australia.",6/25/2024,7/2/2024
Queenstown Adventure,New Zealand,775000,9,6,"Embark on an adventure-packed journey in Queenstown, New Zealand.",7/20/2024,7/28/2024
USA East Coast Discovery,United States,950000,12,4,Discover the charm of the USA's East Coast cities and landscapes.,8/25/2024,9/5/2024
English Countryside Retreat,England,625000,7,2,Relax in the picturesque English countryside.,9/30/2024,10/6/2024
Canadian Northern Lights,Canada,825000,7,3,Witness the mesmerizing Northern Lights in Canada's north.,10/25/2024,10/31/2024
Kyoto Cherry Blossom Delight,Japan,725000,10,5,"Experience the beauty of cherry blossoms in Kyoto, Japan.",11/20/2024,11/30/2024
Great Ocean Road Expedition,Australia,850000,11,6,Drive along the scenic Great Ocean Road in Australia.,12/10/2024,12/20/2024
New Zealand Hiking Adventure,New Zealand,775000,12,4,Embark on a challenging hiking adventure in New Zealand.,1/10/2025,1/21/2025
USA National Parks Expedition,United States,975000,14,6,Explore the natural wonders of the USA's national parks.,2/15/2025,2/28/2025
Cotswolds Countryside Escape,England,525000,7,3,Enjoy a peaceful escape to the Cotswolds in England.,3/20/2025,3/26/2025
Canadian Canoeing Adventure,Canada,725000,8,4,Paddle through Canada's pristine lakes and rivers.,4/15/2025,4/22/2025
Tokyo Anime and Culture Tour,Japan,675000,9,5,"Immerse in the world of anime and culture in Tokyo, Japan.",5/10/2025,5/18/2025
Perth Beach Getaway,Australia,725000,7,4,"Relax on the pristine beaches of Perth, Australia.",6/15/2024,6/21/2024
Fiordland Wilderness Expedition,New Zealand,825000,11,6,"Explore the remote wilderness of Fiordland, New Zealand.",7/10/2024,7/20/2024
USA West Coast Road Trip,United States,1100000,14,4,Experience the beauty of the USA's West Coast on a road trip.,8/15/2024,8/29/2024
Shakespearean England Tour,England,675000,8,3,Dive into the world of Shakespeare in England.,9/10/2024,9/17/2024
Canadian Canopy Walk Adventure,Canada,875000,9,5,Walk among the treetops in Canada's canopy walk adventure.,10/15/2024,10/23/2024
Hiroshima and Kyoto Discovery,Japan,775000,10,4,"Discover the historical and cultural gems of Hiroshima and Kyoto, Japan.",11/10/2024,11/20/2024
Great Barrier Reef Diving,Australia,950000,7,3,Dive into the vibrant underwater world of the Great Barrier Reef.,12/5/2024,12/11/2024
North Island Road Trip,New Zealand,775000,9,6,Explore the scenic North Island of New Zealand on a road trip.,1/10/2025,1/18/2025
USA National Parks Adventure,United States,1050000,15,5,Embark on an adventurous journey through the USA's national parks.,2/5/2025,2/20/2025
Lake District Getaway,England,525000,6,2,"Relax and unwind in the picturesque Lake District, England.",3/10/2025,3/15/2025
Canadian Rockies Hiking,Canada,825000,10,4,Hike through the stunning Canadian Rockies.,4/5/2025,4/15/2025
Osaka Food and Culture Tour,Japan,675000,8,3,Indulge in Osaka's culinary delights and cultural experiences.,5/5/2025,5/12/2025
Great Ocean Road Adventure,Australia,775000,9,6,"Embark on an adventurous journey along the Great Ocean Road, Australia.",6/25/2024,7/3/2024
South Island Exploration,New Zealand,875000,12,5,Explore the diverse landscapes of New Zealand's South Island.,7/20/2024,7/31/2024
USA National Parks Discovery,United States,1150000,14,4,Discover the natural wonders of the USA's national parks.,8/15/2024,8/29/2024
Scottish Highlands Retreat,Scotland,625000,7,2,Retreat in the breathtaking landscapes of the Scottish Highlands.,9/10/2024,9/16/2024
Quebec Winter Wonderland,Canada,875000,9,6,"Experience the enchanting winter wonderland of Quebec, Canada.",10/15/2024,10/23/2024
Hiroshima Peace and Culture,Japan,750000,8,4,Explore Hiroshima's peace memorials and rich cultural heritage.,11/10/2024,11/17/2024
Sydney Opera House Getaway,Australia,875000,6,3,"Enjoy a getaway near the iconic Sydney Opera House, Australia.",12/5/2024,12/10/2024
North Island Adventure,New Zealand,725000,8,5,Embark on an adventure across New Zealand's North Island.,1/5/2025,1/12/2025
New England Fall Foliage Tour,United States,975000,12,4,Witness the beauty of autumn with a fall foliage tour in New England.,2/5/2025,2/16/2025
Lake District Hiking Retreat,England,575000,7,3,Hike through the picturesque Lake District in England.,3/10/2025,3/16/2025
Vancouver Island Wildlife Tour,Canada,825000,10,6,"Explore the diverse wildlife of Vancouver Island, Canada.",4/5/2025,4/15/2025
Okinawa Island Getaway,Japan,725000,9,5,"Relax and explore the tropical paradise of Okinawa Island, Japan.",5/5/2025,5/13/2025
Great Barrier Reef Snorkeling,Australia,825000,7,4,Explore the vibrant underwater world of the Great Barrier Reef through snorkeling.,6/20/2024,6/27/2024
North Island Cultural Journey,New Zealand,725000,8,6,Immerse in the rich Maori culture and heritage of New Zealand's North Island.,7/15/2024,7/22/2024
USA National Parks Explorer,United States,1200000,14,4,Embark on an extensive exploration of the USA's iconic national parks.,8/10/2024,8/24/2024
Romantic Paris Getaway,France,750000,6,2,"Experience the romance of Paris, the City of Love, in France.",9/5/2024,9/10/2024
Canadian Northern Adventure,Canada,895000,11,5,Journey into the heart of Canada's Northern wilderness and adventure.,10/10/2024,10/21/2024
Kyoto Cherry Blossom Retreat,Japan,775000,9,4,"Witness the breathtaking cherry blossoms in Kyoto, Japan, and enjoy a retreat.",11/5/2024,11/13/2024
Gold Coast Beach Paradise,Australia,850000,8,3,"Relax and enjoy the pristine beaches of the Gold Coast, Australia.",12/5/2024,12/12/2024
South Island Photography Tour,New Zealand,775000,10,6,Capture stunning landscapes with a photography tour of New Zealand's South Island.,1/5/2025,1/15/2025
USA Music and Culture Experience,United States,1000000,12,4,Immerse in the music and cultural scene of the USA's vibrant cities.,2/5/2025,2/16/2025
English Countryside Cycling,England,525000,7,3,Explore the charming English countryside on a cycling adventure.,3/10/2025,3/17/2025
Alberta Rocky Mountain Trek,Canada,875000,11,5,"Trek through the stunning Rocky Mountains of Alberta, Canada.",4/5/2025,4/16/2025
Tokyo Culinary Delights,Japan,725000,8,5,"Indulge in the diverse culinary delights of Tokyo, Japan.",5/5/2025,5/13/2025
Barcelona Cultural Escape,Spain,775000,7,4,"Immerse in the rich culture and art of Barcelona, Spain.",6/20/2024,6/27/2024
Lisbon and Porto Discovery,Portugal,725000,9,6,"Explore the historic cities of Lisbon and Porto, Portugal.",7/15/2024,7/23/2024
Paris Fashion and Shopping,France,850000,7,4,"Experience the latest fashion trends in Paris, France.",8/10/2024,8/16/2024
Dubai Luxury Getaway,UAE,950000,8,2,"Enjoy a luxurious getaway in Dubai, the UAE.",9/15/2024,9/22/2024
Kuala Lumpur City Exploration,Malaysia,575000,6,3,"Discover the vibrant city of Kuala Lumpur, Malaysia.",10/20/2024,10/25/2024
Yangon Cultural Journey,Myanmar,625000,8,5,"Explore the cultural heritage of Yangon, Myanmar.",11/20/2024,11/27/2024
Golden Triangle Adventure,India,775000,10,4,Embark on an adventure through India's Golden Triangle.,12/15/2024,12/25/2024
Madrid and Seville Exploration,Spain,725000,9,6,"Explore the historic cities of Madrid and Seville, Spain.",1/10/2025,1/18/2025
Algarve Beach Retreat,Portugal,775000,7,3,"Relax on the beautiful beaches of Algarve, Portugal.",2/10/2025,2/17/2025
Provence Wine and Culinary Tour,France,850000,8,5,"Indulge in the finest wines and cuisine of Provence, France.",3/15/2025,3/22/2025
Abu Dhabi Desert Safari,UAE,625000,6,2,"Experience the thrill of a desert safari in Abu Dhabi, UAE.",4/10/2025,4/15/2025
Penang Food and Culture Tour,Malaysia,575000,7,4,"Taste the diverse flavors and cultures of Penang, Malaysia.",5/15/2025,5/21/2025
Ibiza Beach Party Escape,Spain,925000,7,4,"Experience the vibrant beach party scene in Ibiza, Spain.",6/25/2024,7/2/2024
Porto Wine Tasting Journey,Portugal,775000,8,6,Savor the flavors of Portugal with a wine tasting journey in Porto.,7/20/2024,7/27/2024
French Riviera Luxury Retreat,France,1100000,10,4,Indulge in luxury on the French Riviera.,8/15/2024,8/25/2024
Dubai Desert Adventure,UAE,825000,9,5,"Embark on an adventurous desert journey in Dubai, UAE.",9/10/2024,9/18/2024
Langkawi Island Paradise,Malaysia,625000,6,2,"Relax on the pristine beaches of Langkawi Island, Malaysia.",10/5/2024,10/10/2024
Bagan Temples and Pagodas Tour,Myanmar,725000,8,6,"Explore the ancient temples and pagodas of Bagan, Myanmar.",11/5/2024,11/12/2024
Rajasthan Heritage Journey,India,875000,12,4,"Discover the rich heritage of Rajasthan, India.",12/10/2024,12/22/2024
Barcelona Gourmet Experience,Spain,725000,7,3,"Delight in the culinary wonders of Barcelona, Spain.",1/15/2025,1/21/2025
Azores Adventure Expedition,Portugal,825000,10,5,"Embark on an adventurous expedition to the Azores, Portugal.",2/10/2025,2/20/2025
Normandy Countryside Escape,France,750000,9,4,"Escape to the picturesque Normandy countryside, France.",3/10/2025,3/19/2025
Abu Dhabi Cultural Exploration,UAE,675000,8,3,"Explore the rich cultural heritage of Abu Dhabi, UAE.",4/15/2025,4/22/2025
Penang Island Adventure,Malaysia,675000,10,5,"Embark on an adventure-packed journey on Penang Island, Malaysia.",5/10/2025,5/20/2025
Seville Flamenco Experience,Spain,725000,6,4,"Immerse in the passionate world of Flamenco in Seville, Spain.",6/25/2024,7/1/2024
Alentejo Vineyard Retreat,Portugal,875000,7,6,Retreat to the serene Alentejo vineyards in Portugal.,7/20/2024,7/26/2024
French Alps Ski Adventure,France,1150000,7,4,Experience thrilling ski adventures in the French Alps.,8/15/2024,8/21/2024
Abu Dhabi Desert Glamping,UAE,950000,5,2,"Enjoy luxurious desert glamping in Abu Dhabi, UAE.",9/10/2024,9/14/2024
Kuala Lumpur Foodie Tour,Malaysia,575000,5,3,Embark on a culinary tour to savor Kuala Lumpur's diverse cuisine.,10/5/2024,10/9/2024
Mandalay River Cruise,Myanmar,825000,7,6,"Cruise along the scenic rivers of Mandalay, Myanmar.",11/5/2024,11/11/2024
Rajasthan Palace Retreat,India,1050000,10,4,"Experience royal luxury in Rajasthan's palaces, India.",12/10/2024,12/19/2024
Valencia Beach Getaway,Spain,675000,8,3,"Relax on the beautiful beaches of Valencia, Spain.",1/15/2025,1/22/2025
Douro Valley Wine Experience,Portugal,825000,6,2,"Indulge in wine tasting in the scenic Douro Valley, Portugal.",2/10/2025,2/15/2025
French Châteaux Adventure,France,875000,9,5,Explore the historic châteaux of the French countryside.,3/10/2025,3/18/2025
Dubai Beach and Culture Tour,UAE,725000,7,4,Discover the best of Dubai's beaches and culture.,4/15/2025,4/21/2025
