Package_name,Country,Price,No. of Days,No. of People,Description,Start Date,End Date
Langkawi Island Wildlife Tour,Malaysia,725000,8,6,"Explore the diverse wildlife on Langkawi Island, Malaysia.",5/10/2025,5/17/2025
Granada Alhambra Tour,Spain,725000,6,4,"Explore the stunning Alhambra palace in Granada, Spain.",6/25/2024,7/1/2024
Douro River Cruise,Portugal,875000,8,6,Cruise along the scenic Douro River in Portugal.,7/20/2024,7/27/2024
French Wine and Culinary Tour,France,1250000,9,4,Savor the finest wines and cuisine of France on this tour.,8/15/2024,8/24/2024
Dubai Skydiving Adventure,UAE,1050000,5,2,"Experience thrilling skydiving adventures in Dubai, UAE.",9/10/2024,9/14/2024
Penang Island Getaway,Malaysia,675000,6,3,"Enjoy a relaxing getaway on the beautiful Penang Island, Malaysia.",10/5/2024,10/10/2024
Bagan Hot Air Balloon Ride,Myanmar,925000,7,6,Soar above the ancient temples of Bagan with a hot air balloon ride.,11/5/2024,11/11/2024
Kerala Backwaters Retreat,India,950000,8,4,"Relax in the serene backwaters of Kerala, India.",12/10/2024,12/17/2024
Seville Tapas and Flamenco,Spain,675000,7,3,"Enjoy delicious tapas and flamenco shows in Seville, Spain.",1/15/2025,1/21/2025
Porto and Lisbon Exploration,Portugal,825000,10,5,"Explore the historic cities of Porto and Lisbon, Portugal.",2/10/2025,2/20/2025
French Riviera Beach Retreat,France,850000,6,2,Relax on the beautiful beaches of the French Riviera.,3/10/2025,3/15/2025
Abu Dhabi Island Getaway,UAE,625000,7,4,"Enjoy a getaway on the stunning islands of Abu Dhabi, UAE.",4/15/2025,4/21/2025
Langkawi Rainforest Adventure,Malaysia,725000,8,6,Embark on an adventurous journey through Langkawi's rainforest.,5/10/2025,5/18/2025
Madrid Royal Palace Tour,Spain,625000,5,3,"Explore the majestic Royal Palace of Madrid, Spain.",6/20/2024,6/25/2024
Algarve Coastal Retreat,Portugal,825000,7,4,"Relax and rejuvenate on the picturesque Algarve coast, Portugal.",7/15/2024,7/22/2024
French Wine Country Adventure,France,1350000,10,6,Embark on an adventure in the heart of French wine country.,8/10/2024,8/20/2024
Dubai Marina Yacht Cruise,UAE,975000,6,2,"Experience the luxury of a yacht cruise in Dubai Marina, UAE.",9/5/2024,9/10/2024
Penang Cultural Discovery,Malaysia,675000,8,5,"Discover the rich cultural heritage of Penang, Malaysia.",10/10/2024,10/18/2024
Inle Lake Nature Retreat,Myanmar,875000,9,4,"Retreat in the tranquil nature of Inle Lake, Myanmar.",11/10/2024,11/19/2024
Kerala Ayurvedic Wellness,India,1025000,12,6,"Rejuvenate with Ayurvedic wellness in the backwaters of Kerala, India.",12/5/2024,12/17/2024
Barcelona Foodie Tour,Spain,725000,7,4,"Savor the diverse culinary delights of Barcelona, Spain.",1/10/2025,1/16/2025
Azores Volcano Exploration,Portugal,825000,8,3,"Explore the volcanic landscapes of the Azores, Portugal.",2/5/2025,2/12/2025
French Countryside Cycling,France,750000,9,5,Cycle through the charming French countryside.,3/5/2025,3/14/2025
Dubai Luxury Spa Retreat,UAE,725000,7,4,"Relax and rejuvenate with a luxury spa retreat in Dubai, UAE.",4/10/2025,4/17/2025
Langkawi Island Paradise,Malaysia,625000,6,2,"Escape to the paradise of Langkawi Island, Malaysia.",5/5/2025,5/10/2025
Doha Cultural Exploration,Qatar,825000,6,4,"Explore the rich cultural heritage of Doha, Qatar.",6/20/2024,6/25/2024
Moscow Red Square Tour,Russia,875000,7,6,"Discover the historic Red Square in Moscow, Russia.",7/15/2024,7/22/2024
Beijing Great Wall Adventure,China,1250000,10,6,Embark on an adventure to the Great Wall of China in Beijing.,8/10/2024,8/20/2024
Hong Kong City Escape,Hong Kong,975000,6,2,Enjoy an escape in the vibrant city of Hong Kong.,9/5/2024,9/10/2024
Taipei Cultural Discovery,Taiwan,675000,8,5,"Discover the cultural treasures of Taipei, Taiwan.",10/10/2024,10/18/2024
Gobi Desert Expedition,Mongolia,1025000,12,6,Embark on an expedition to the vast Gobi Desert in Mongolia.,11/10/2024,11/19/2024
Trans-Siberian Railway Journey,Russia,1125000,14,4,Journey on the iconic Trans-Siberian Railway in Russia.,12/5/2024,12/18/2024
Shanghai City of Lights Tour,China,725000,7,4,"Explore the dazzling city lights of Shanghai, China.",1/10/2025,1/16/2025
Macau Entertainment Retreat,Macau,825000,8,3,Enjoy entertainment and relaxation in Macau.,2/5/2025,2/12/2025
Taroko Gorge Hiking Adventure,Taiwan,750000,9,5,Hike through the stunning Taroko Gorge in Taiwan.,3/5/2025,3/14/2025
Ulaanbaatar Cultural Experience,Mongolia,725000,7,4,"Immerse in the cultural experiences of Ulaanbaatar, Mongolia.",4/10/2025,4/17/2025
St. Petersburg Heritage Tour,Russia,625000,6,2,"Explore the rich heritage of St. Petersburg, Russia.",5/5/2025,5/10/2025
Doha Desert Safari,Qatar,775000,7,4,"Experience the thrill of a desert safari in Doha, Qatar.",6/25/2024,7/1/2024
St. Petersburg Winter Wonderland,Russia,950000,8,6,"Explore the enchanting winter wonderland of St. Petersburg, Russia.",7/20/2024,7/28/2024
Beijing Imperial Discovery,China,1200000,10,4,"Discover the imperial treasures of Beijing, China.",8/15/2024,8/24/2024
Hong Kong Skyline Cruise,Hong Kong,725000,6,3,Cruise along the iconic Hong Kong skyline.,9/10/2024,9/15/2024
Taipei Night Markets Tour,Taiwan,625000,5,2,"Explore the bustling night markets of Taipei, Taiwan.",10/5/2024,10/9/2024
Mongolian Nomad Adventure,Mongolia,1100000,12,6,Live the nomadic life on an adventure in Mongolia.,11/5/2024,11/17/2024
Sochi Black Sea Retreat,Russia,775000,8,5,"Relax on the Black Sea coast in Sochi, Russia.",12/10/2024,12/18/2024
Shanghai Modern Art Tour,China,825000,7,4,"Explore modern art in the vibrant city of Shanghai, China.",1/15/2025,1/21/2025
Macau Casino Extravaganza,Macau,975000,6,2,Experience the excitement of Macau's casinos and entertainment.,2/10/2025,2/15/2025
Taroko Gorge Nature Retreat,Taiwan,750000,9,5,"Retreat in the natural beauty of Taroko Gorge, Taiwan.",3/10/2025,3/19/2025
Genghis Khan Heritage Tour,Mongolia,850000,10,4,Explore the heritage of Genghis Khan in Mongolia.,4/15/2025,4/25/2025
Kazan Cultural Exploration,Russia,675000,7,3,"Explore the rich culture of Kazan, Russia.",5/10/2025,5/16/2025
Qatar Desert Glamping,Qatar,825000,7,4,Experience luxurious desert glamping in Qatar.,6/25/2024,7/1/2024
Moscow Art and Culture Tour,Russia,950000,8,6,"Immerse in the vibrant art and culture scene of Moscow, Russia.",7/20/2024,7/28/2024
Beijing Historical Tour,China,1200000,10,4,"Explore the rich history of Beijing, China.",8/15/2024,8/24/2024
Hong Kong Disneyland Adventure,Hong Kong,725000,6,3,Enjoy thrilling adventures at Hong Kong Disneyland.,9/10/2024,9/15/2024
Taipei Tea and Gardens Retreat,Taiwan,625000,5,2,"Relax in tranquil tea gardens in Taipei, Taiwan.",10/5/2024,10/9/2024
Mongolian Steppe Expedition,Mongolia,1100000,12,6,Embark on an expedition through the Mongolian steppe.,11/5/2024,11/17/2024
Sochi Beach Getaway,Russia,775000,8,5,"Relax on the beautiful beaches of Sochi, Russia.",12/10/2024,12/18/2024
Shanghai Tech and Innovation,China,825000,7,4,"Explore the latest tech and innovation in Shanghai, China.",1/15/2025,1/21/2025
Macau Culinary Delights,Macau,975000,6,2,Savor culinary delights in the food capital of Macau.,2/10/2025,2/15/2025
Taiwan Beach Retreat,Taiwan,750000,9,5,Relax on the pristine beaches of Taiwan.,3/10/2025,3/19/2025
Mongolian Eagle Hunting,Mongolia,850000,10,4,Witness the ancient tradition of eagle hunting in Mongolia.,4/15/2025,4/25/2025
Kazan River Cruise,Russia,675000,7,3,"Cruise along the scenic rivers of Kazan, Russia.",5/10/2025,5/16/2025
Doha Sunset Cruise,Qatar,725000,5,3,"Enjoy a picturesque sunset cruise in Doha, Qatar.",6/20/2024,6/24/2024
Trans-Siberian Railway Expedition,Russia,1250000,14,6,Embark on an epic journey on the Trans-Siberian Railway in Russia.,7/15/2024,7/28/2024
Shanghai Fashion Experience,China,1050000,8,4,"Dive into the world of fashion in Shanghai, China.",8/10/2024,8/17/2024
Hong Kong Food and Culture Tour,Hong Kong,775000,7,3,Explore the rich food and culture scene in Hong Kong.,9/5/2024,9/11/2024
Taipei Adventure Retreat,Taiwan,675000,6,2,"Embark on an adventure-filled retreat in Taipei, Taiwan.",10/10/2024,10/15/2024
Mongolian Nomadic Experience,Mongolia,1150000,10,6,Live the nomadic life and experience Mongolia's traditions.,11/5/2024,11/15/2024
Sochi Skiing and Spa Retreat,Russia,950000,8,4,"Enjoy skiing and spa relaxation in Sochi, Russia.",12/10/2024,12/17/2024
Beijing Hutong Exploration,China,725000,6,3,"Explore the historic hutongs of Beijing, China.",1/15/2025,1/20/2025
Macau Entertainment Extravaganza,Macau,875000,9,5,Experience the entertainment extravaganza in Macau.,2/10/2025,2/19/2025
Taiwan Tea Culture Immersion,Taiwan,725000,7,4,Immerse in the rich tea culture of Taiwan.,3/15/2025,3/21/2025
Ulaanbaatar Outdoor Adventure,Mongolia,825000,8,6,"Embark on an outdoor adventure in Ulaanbaatar, Mongolia.",4/20/2025,4/27/2025
Kazan Historic City Tour,Russia,625000,5,2,"Explore the historic city of Kazan, Russia.",5/15/2025,5/20/2025
Qatar Desert Safari,Qatar,825000,7,4,Embark on an exciting desert safari adventure in Qatar.,6/20/2024,6/26/2024
St. Petersburg Ballet Retreat,Russia,975000,8,6,"Immerse in the world of ballet in St. Petersburg, Russia.",7/15/2024,7/22/2024
Beijing Martial Arts Training,China,1150000,10,4,"Train in traditional martial arts in Beijing, China.",8/10/2024,8/19/2024
Hong Kong Island Getaway,Hong Kong,725000,6,3,Enjoy a relaxing getaway on Hong Kong Island.,9/5/2024,9/10/2024
Taiwan Night Market Food Tour,Taiwan,625000,5,2,Indulge in the delicious street food of Taiwan's night markets.,10/5/2024,10/9/2024
Mongolian Eagle Festival,Mongolia,1050000,9,5,Witness the thrilling Mongolian Eagle Festival.,11/5/2024,11/13/2024
Sochi Black Sea Adventure,Russia,825000,7,4,"Experience adventure on the Black Sea coast in Sochi, Russia.",12/10/2024,12/17/2024
Beijing Acrobatics Show,China,725000,6,3,"Witness breathtaking acrobatics in Beijing, China.",1/15/2025,1/20/2025
Macau Luxury Casino Retreat,Macau,975000,8,6,Enjoy luxury and casino entertainment in Macau.,2/10/2025,2/18/2025
Taiwan Hot Springs Getaway,Taiwan,750000,7,4,Relax in rejuvenating hot springs in Taiwan.,3/15/2025,3/21/2025
Genghis Khan Expedition,Mongolia,1150000,10,6,Embark on an expedition following Genghis Khan's legacy in Mongolia.,4/20/2025,4/29/2025
Kazan Cultural Retreat,Russia,675000,7,4,"Immerse in the cultural richness of Kazan, Russia.",5/15/2025,5/21/2025
Doha Skyline Helicopter Tour,Qatar,825000,5,2,Experience breathtaking views of Doha's skyline by helicopter.,6/20/2024,6/24/2024
Moscow Kremlin Exploration,Russia,950000,8,4,"Explore the historic Kremlin in Moscow, Russia.",7/15/2024,7/22/2024
Beijing Culinary Adventure,China,1250000,10,6,"Embark on a culinary adventure in Beijing, China.",8/10/2024,8/19/2024
Hong Kong Harbor Cruise,Hong Kong,725000,6,3,Enjoy a relaxing harbor cruise in Hong Kong.,9/5/2024,9/10/2024
Taipei Eco Retreat,Taiwan,625000,5,2,"Immerse in eco-friendly practices in Taipei, Taiwan.",10/5/2024,10/9/2024
Mongolian Nomadic Adventure,Mongolia,1100000,12,6,Experience the nomadic lifestyle in the Mongolian wilderness.,11/5/2024,11/17/2024
Sochi Beachside Bliss,Russia,775000,7,4,"Relax on the picturesque beaches of Sochi, Russia.",12/10/2024,12/17/2024
Shanghai Art and Culture Tour,China,725000,6,3,"Explore the rich art and culture scene in Shanghai, China.",1/15/2025,1/20/2025
Macau Entertainment Extravaganza,Macau,975000,8,6,Experience the entertainment extravaganza in Macau.,2/10/2025,2/18/2025
Taiwan Hot Air Balloon Adventure,Taiwan,750000,7,4,Soar above the stunning landscapes of Taiwan in a hot air balloon.,3/15/2025,3/21/2025
Gobi Desert Expedition,Mongolia,950000,8,4,Embark on an expedition to explore the wonders of the Gobi Desert.,4/20/2025,4/27/2025
Kazan Cultural Retreat,Russia,675000,7,4,"Immerse in the cultural richness of Kazan, Russia.",5/15/2025,5/21/2025
Rio de Janeiro Carnival,Brazil,1550000,7,4,Experience the vibrant Rio de Janeiro Carnival in Brazil.,6/20/2024,6/26/2024
Buenos Aires Tango Retreat,Argentina,1125000,8,3,"Immerse in the world of tango in Buenos Aires, Argentina.",7/15/2024,7/22/2024
Taj Mahal and Jaipur Tour,India,850000,10,6,Explore the iconic Taj Mahal and Jaipur in India.,8/10/2024,8/19/2024
Islamabad Adventure Expedition,Pakistan,975000,12,4,"Embark on an adventure expedition in Islamabad, Pakistan.",9/5/2024,9/16/2024
Sri Lanka Tea Plantation Tour,Sri Lanka,725000,7,3,Explore the lush tea plantations of Sri Lanka.,10/5/2024,10/11/2024
Maldives Overwater Bungalow Retreat,Maldives,1950000,8,2,Relax in luxurious overwater bungalows in the Maldives.,11/5/2024,11/12/2024
Hawaii Volcano Adventure,Hawaii,1250000,9,4,Explore volcanic wonders on a Hawaii volcano adventure.,12/10/2024,12/18/2024
Berlin Art and Culture Tour,Germany,875000,7,2,"Immerse in art and culture in Berlin, Germany.",1/15/2025,1/21/2025
Rio Carnival Samba Experience,Brazil,1450000,7,4,Join the samba celebrations at Rio Carnival in Brazil.,2/10/2025,2/16/2025
Buenos Aires Gourmet Getaway,Argentina,950000,6,3,"Indulge in gourmet delights in Buenos Aires, Argentina.",3/15/2025,3/20/2025
Kerala Backwaters Retreat,India,825000,8,5,Relax in the serene Kerala backwaters of India.,4/20/2025,4/27/2025
Lahore Historic City Tour,Pakistan,725000,6,2,"Explore the historic city of Lahore, Pakistan.",5/15/2025,5/20/2025
Oktoberfest Adventure,Germany,1050000,5,2,"Experience the world-famous Oktoberfest in Munich, Germany.",9/30/2023,10/4/2023
Amazon Rainforest Expedition,Brazil,1750000,10,4,Explore the wonders of the Amazon Rainforest in Brazil.,10/10/2023,10/20/2023
Buenos Aires Tango Retreat,Argentina,1125000,8,3,"Immerse in the world of tango in Buenos Aires, Argentina.",10/15/2023,10/22/2023
Taj Mahal and Jaipur Tour,India,850000,7,2,Explore the iconic Taj Mahal and Jaipur in India.,11/5/2023,11/11/2023
Islamabad Adventure Expedition,Pakistan,975000,12,6,"Embark on an adventure expedition in Islamabad, Pakistan.",11/20/2023,12/1/2023
Sri Lanka Tea Plantation Tour,Sri Lanka,725000,7,3,Explore the lush tea plantations of Sri Lanka.,12/5/2023,12/11/2023
Maldives Overwater Bungalow Retreat,Maldives,1950000,8,2,Relax in luxurious overwater bungalows in the Maldives.,12/20/2023,12/27/2023
Hawaii Volcano Adventure,Hawaii,1250000,9,4,Explore volcanic wonders on a Hawaii volcano adventure.,1/5/2024,1/13/2024
Berlin Art and Culture Tour,Germany,875000,7,2,"Immerse in art and culture in Berlin, Germany.",2/10/2024,2/16/2024
Rio Carnival Samba Experience,Brazil,1450000,7,4,Join the samba celebrations at Rio Carnival in Brazil.,3/5/2024,3/11/2024
Ilam Tea Garden Tour,Nepal,525000,7,2,"Explore the beautiful tea gardens of Ilam, Nepal.",1/5/2024,1/11/2024
Langtang Valley Trek,Nepal,725000,10,4,Trek through the picturesque Langtang Valley in Nepal.,9/28/2023,10/7/2023
Bhaktapur Cultural Retreat,Nepal,375000,6,2,"Immerse in the cultural richness of Bhaktapur, Nepal.",10/12/2023,10/17/2023
Gosaikunda Lake Expedition,Nepal,925000,8,3,Explore the sacred Gosaikunda Lake in the Langtang region.,11/3/2023,11/10/2023
Annapurna Circuit Trek,Nepal,1150000,15,5,Trek around the Annapurna Circuit in the Himalayas.,11/18/2023,12/2/2023
Lumbini Pilgrimage Tour,Nepal,525000,7,2,"Visit the birthplace of Lord Buddha in Lumbini, Nepal.",12/10/2023,12/16/2023
Upper Dolpo Wilderness Trek,Nepal,1350000,14,6,Explore the remote and pristine Upper Dolpo region.,12/26/2023,1/8/2024
Janakpur Cultural Experience,Nepal,425000,6,3,"Experience the rich cultural heritage of Janakpur, Nepal.",1/15/2024,1/20/2024
Chitwan Jungle Safari,Nepal,725000,5,2,Go on a thrilling jungle safari in Chitwan National Park.,2/5/2024,2/9/2024
Bardia National Park Escape,Nepal,625000,7,4,Discover the wildlife of Bardia National Park in Nepal.,3/10/2024,3/16/2024
Rara Lake Adventure,Nepal,975000,9,3,Enjoy an adventurous journey to the stunning Rara Lake.,4/5/2024,4/13/2024
Ilam Tea Garden Tour,Nepal,85000,5,2,"Explore the beautiful tea gardens of Ilam, Nepal.",9/28/2023,10/2/2023
Bhaktapur Cultural Retreat,Nepal,30000,4,1,"Immerse in the cultural richness of Bhaktapur, Nepal.",10/10/2023,10/13/2023
Gosaikunda Lake Expedition,Nepal,75000,7,2,Explore the sacred Gosaikunda Lake in the Langtang region.,10/25/2023,10/31/2023
Kathmandu Valley Heritage Tour,Nepal,45000,3,1,Discover the cultural heritage of the Kathmandu Valley.,11/5/2023,11/7/2023
Rara Lake Adventure,Nepal,195000,5,2,Enjoy an adventurous journey to the stunning Rara Lake.,11/20/2023,11/24/2023
Chitwan Wildlife Safari,Nepal,100000,4,2,Experience a thrilling wildlife safari in Chitwan.,12/2/2023,12/5/2023
Bandipur Cultural Retreat,Nepal,40000,3,1,Immerse in the culture of the picturesque town of Bandipur.,12/15/2023,12/17/2023
Annapurna Foothills Trek,Nepal,125000,6,3,Trek through the beautiful Annapurna foothills.,1/5/2024,1/10/2024
Rupakot Resort Getaway,Nepal,175000,4,2,Relax at the scenic Rupakot Resort overlooking Lake Begnas.,1/20/2024,1/23/2024
Ghandruk Cultural Experience,Nepal,60000,5,2,Experience the culture of the Gurung people in Ghandruk.,2/10/2024,2/14/2024
Langtang Valley Trek,Nepal,85000,7,3,Trek through the picturesque Langtang Valley in Nepal.,3/5/2024,3/11/2024
Lumbini Pilgrimage Tour,Nepal,35000,4,1,"Visit the birthplace of Lord Buddha in Lumbini, Nepal.",9/28/2023,10/1/2023
Bandipur Cultural Retreat,Nepal,30000,3,1,Immerse in the culture of the picturesque town of Bandipur.,10/10/2023,10/12/2023
Ghorepani Poon Hill Trek,Nepal,65000,5,2,Trek to the beautiful Poon Hill in the Annapurna region.,10/25/2023,10/29/2023
Kathmandu Valley Heritage Tour,Nepal,45000,4,2,Explore the cultural heritage of the Kathmandu Valley.,11/5/2023,11/8/2023
Chitwan Wildlife Safari,Nepal,80000,3,1,Experience a thrilling wildlife safari in Chitwan.,11/20/2023,11/22/2023
Rara Lake Adventure,Nepal,175000,4,2,Enjoy an adventurous journey to the stunning Rara Lake.,12/2/2023,12/5/2023
Bardiya Jungle Exploration,Nepal,125000,5,3,Explore the wilderness of Bardiya National Park.,12/15/2023,12/19/2023
Annapurna Foothills Trek,Nepal,110000,6,2,Trek through the beautiful Annapurna foothills.,1/5/2024,1/10/2024
Pokhara Paragliding Adventure,Nepal,65000,3,1,Soar high over the stunning landscapes of Pokhara.,1/20/2024,1/22/2024
Ghandruk Cultural Experience,Nepal,60000,5,2,Experience the culture of the Gurung people in Ghandruk.,2/10/2024,2/14/2024
Langtang Valley Trek,Nepal,85000,7,3,Trek through the picturesque Langtang Valley in Nepal.,3/5/2024,3/11/2024
Everest View Helicopter Tour,Nepal,150000,2,1,Get a breathtaking view of Mount Everest by helicopter.,3/20/2024,3/21/2024
Upper Dolpo Wilderness Trek,Nepal,185000,10,4,Explore the remote and pristine Upper Dolpo region.,6/5/2024,6/15/2024
Janakpur Cultural Experience,Nepal,30000,3,1,"Experience the rich cultural heritage of Janakpur, Nepal.",6/20/2024,6/22/2024
Chitwan Jungle Safari,Nepal,85000,4,2,Go on a thrilling jungle safari in Chitwan National Park.,7/5/2024,7/8/2024
Bardia National Park Escape,Nepal,90000,5,3,Discover the wildlife of Bardia National Park in Nepal.,7/20/2024,7/25/2024
Rara Lake Adventure,Nepal,145000,6,2,Enjoy an adventurous journey to the stunning Rara Lake.,8/5/2024,8/10/2024
Ilam Tea Garden Tour,Nepal,40000,4,1,"Explore the beautiful tea gardens of Ilam, Nepal.",8/20/2024,8/23/2024
Manang Himalayan Expedition,Nepal,165000,9,3,Embark on a challenging expedition in the Manang region of Nepal.,9/5/2024,9/13/2024
Muktinath Pilgrimage Tour,Nepal,55000,4,1,Visit the sacred temple of Muktinath on this pilgrimage tour.,9/20/2024,9/23/2024
Gosaikunda Lake Expedition,Nepal,85000,5,2,Explore the sacred Gosaikunda Lake in the Langtang region.,10/5/2024,10/9/2024
Annapurna Circuit Trek,Nepal,125000,12,4,Trek around the Annapurna Circuit in the Himalayas.,10/20/2024,11/1/2024
Lumbini Pilgrimage Tour,Nepal,35000,4,1,"Visit the birthplace of Lord Buddha in Lumbini, Nepal.",11/5/2024,11/8/2024
Upper Dolpo Wilderness Trek,Nepal,185000,10,4,Explore the remote and pristine Upper Dolpo region.,11/20/2024,11/30/2024
Janakpur Cultural Experience,Nepal,30000,3,1,"Experience the rich cultural heritage of Janakpur, Nepal.",12/5/2024,12/8/2024
Chitwan Jungle Safari,Nepal,85000,4,2,Go on a thrilling jungle safari in Chitwan National Park.,12/20/2024,12/23/2024
Mardi Himal Trek,Nepal,95000,7,2,Trek to the stunning Mardi Himal in the Annapurna region.,9/28/2023,10/4/2023
Rara Lake Adventure,Nepal,175000,5,3,Enjoy an adventurous journey to the stunning Rara Lake.,10/15/2023,10/19/2023
Tansen Hill Station Retreat,Nepal,40000,4,1,Relax in the serene hill station of Tansen in Nepal.,10/28/2023,10/31/2023
Ilam Tea Garden Tour,Nepal,35000,5,2,"Explore the beautiful tea gardens of Ilam, Nepal.",11/5/2023,11/9/2023
Annapurna Circuit Trek,Nepal,125000,12,4,Trek around the Annapurna Circuit in the Himalayas.,11/18/2023,11/29/2023
Manaslu Base Camp Trek,Nepal,135000,14,6,Trek to the majestic Manaslu Base Camp in Nepal.,12/5/2023,12/18/2023
Rupakot Resort Getaway,Nepal,125000,3,2,Relax at the scenic Rupakot Resort overlooking Lake Begnas.,12/20/2023,12/22/2023
Gosaikunda Lake Expedition,Nepal,75000,6,3,Explore the sacred Gosaikunda Lake in the Langtang region.,1/5/2024,1/10/2024
Muktinath Pilgrimage Tour,Nepal,55000,4,2,Visit the sacred temple of Muktinath on this pilgrimage tour.,1/20/2024,1/23/2024
Chitwan Wildlife Safari,Nepal,80000,4,2,Experience a thrilling wildlife safari in Chitwan.,2/5/2024,2/8/2024
Ghandruk Cultural Experience,Nepal,60000,5,2,Experience the culture of the Gurung people in Ghandruk.,2/20/2024,2/24/2024
Langtang Valley Trek,Nepal,85000,7,3,Trek through the picturesque Langtang Valley in Nepal.,3/5/2024,3/11/2024
Everest View Helicopter Tour,Nepal,150000,2,1,Get a breathtaking view of Mount Everest by helicopter.,3/20/2024,3/21/2024
Pokhara Paragliding Adventure,Nepal,65000,3,1,Soar high over the stunning landscapes of Pokhara.,4/5/2024,4/7/2024
Tilocho Lake Expedition,Nepal,100000,5,2,Explore the pristine Tilocho Lake in Nepal's wilderness.,4/20/2024,4/24/2024
Kanchenjunga Base Camp Trek,Nepal,185000,16,4,Trek to the base camp of the world's third-highest peak.,5/5/2024,5/20/2024
Upper Dolpo Wilderness Trek,Nepal,185000,10,4,Explore the remote and pristine Upper Dolpo region.,6/5/2024,6/15/2024
Jhapa Tea Plantation Tour,Nepal,40000,4,2,Explore the lush tea plantations of Jhapa in eastern Nepal.,9/28/2023,10/1/2023
Dolakha Heritage Trail,Nepal,45000,5,2,Discover the rich cultural heritage of Dolakha in Nepal.,10/15/2023,10/19/2023
Kuri Village Retreat,Nepal,30000,3,1,Experience the tranquility of Kuri Village in the hills.,10/28/2023,10/30/2023
Bhimsenthan Temple Pilgrimage,Nepal,35000,4,1,Visit the sacred Bhimsenthan Temple in the Terai region.,11/5/2023,11/8/2023
Dakshinkali Temple Tour,Nepal,40000,4,2,Explore the ancient Dakshinkali Temple near Kathmandu.,11/18/2023,11/21/2023
Ghodaghodi Lake Exploration,Nepal,65000,5,3,Discover the natural beauty of Ghodaghodi Lake in Kailali.,12/5/2023,12/9/2023
CG Temple Visit,Nepal,30000,3,1,Explore the beautiful CG Temple and its surroundings.,12/20/2023,12/22/2023
Patan Durbar Square Experience,Nepal,40000,4,2,Immerse in the historic charm of Patan Durbar Square.,1/5/2024,1/8/2024
Pashupatinath Temple Pilgrimage,Nepal,35000,4,1,Visit the sacred Pashupatinath Temple in Kathmandu.,1/20/2024,1/23/2024
Bhaktapur Durbar Square Tour,Nepal,40000,4,2,Explore the cultural richness of Bhaktapur Durbar Square.,2/5/2024,2/8/2024
Night Camping Adventure,Nepal,45000,2,2,Enjoy a memorable night camping experience in various locations.,2/20/2024,2/21/2024
Tansen Hill Station Escape,Nepal,30000,3,1,Enjoy the tranquility of Tansen Hill Station in Nepal.,12/2/2023,12/4/2023
Rupakot Resort Getaway,Nepal,125000,4,2,Relax at the luxurious Rupakot Resort overlooking Lake Begnas.,12/15/2023,12/18/2023
Janakpur Cultural Experience,Nepal,30000,3,1,"Explore the cultural heritage of Janakpur, Nepal.",12/28/2023,12/30/2023
Gosaikunda Lake Expedition,Nepal,75000,7,3,Trek to the sacred Gosaikunda Lake in Langtang.,1/10/2024,12/10/2023
Pashupatinath Temple Visit,Nepal,30000,2,1,Explore the spiritual aura of Pashupatinath Temple in Kathmandu.,9/28/2023,9/29/2023
Patan Durbar Square Tour,Nepal,40000,4,2,Discover the historic charm of Patan Durbar Square.,10/10/2023,10/13/2023
Bhaktapur Durbar Square Visit,Nepal,35000,3,1,Immerse in the cultural richness of Bhaktapur Durbar Square.,10/25/2023,10/27/2023
Godawari Garden Retreat,Nepal,35000,3,2,Relax amidst the lush greenery of Godawari Garden.,11/5/2023,11/7/2023
Kathmandu Fun Park Adventure,Nepal,45000,2,2,Enjoy thrilling rides and entertainment at Kathmandu Fun Park.,11/20/2023,11/21/2023
Shivapuri Trekking Expedition,Nepal,55000,4,2,Trek through the beautiful Shivapuri National Park.,12/5/2023,12/8/2023
Nagarkot Sunrise Tour,Nepal,40000,2,1,Witness a mesmerizing sunrise view from Nagarkot.,12/20/2023,12/21/2023
