Package_name,Country,Price,No. of Days,No. of People,Description,Start Date,End Date
Arun Valley Exploration,Nepal,85000,7,3,Explore the picturesque Arun Valley in eastern Nepal.,1/5/2024,1/11/2024
Karnali River Rafting,Nepal,75000,5,4,Experience thrilling white-water rafting on the Karnali River.,1/20/2024,1/24/2024
Pokhara Museum Discovery,Nepal,55000,3,2,Explore the cultural and artistic treasures of Pokhara Museum.,2/5/2024,2/7/2024
Shey Phoksundo Lake Expedition,Nepal,155000,7,2,Explore the pristine Shey Phoksundo Lake in the Dolpa region.,9/28/2023,10/4/2023
Phewa Lake Retreat,Nepal,35000,3,2,Relax by the beautiful Phewa Lake in the heart of Pokhara.,10/15/2023,10/17/2023
Rara Lake Adventure,Nepal,175000,5,3,Explore the serene beauty of Rara Lake in the Far West.,10/30/2023,11/3/2023
Begnas Lake Getaway,Nepal,45000,4,2,Enjoy the tranquility of Begnas Lake in the Pokhara Valley.,11/10/2023,11/13/2023
Mahendra Cave Exploration,Nepal,30000,2,1,Discover the fascinating Mahendra Cave in Pokhara.,11/25/2023,11/26/2023
David Falls Visit,Nepal,25000,2,1,Witness the enchanting David Falls in Pokhara.,12/5/2023,12/6/2023
Manakamana Temple Pilgrimage,Nepal,35000,3,1,Visit the sacred Manakamana Temple with scenic cable car ride.,12/18/2023,12/20/2023
Swayambhunath Temple Tour,Nepal,30000,2,1,Explore the iconic Swayambhunath Temple in Kathmandu.,12/28/2023,12/29/2023
Boudhanath Stupa Experience,Nepal,30000,2,1,Visit the majestic Boudhanath Stupa in Kathmandu.,1/10/2024,1/11/2024
Sagarmatha National Park Trek,Nepal,165000,10,4,Trek to the stunning Sagarmatha National Park in the Everest region.,1/25/2024,2/4/2024
Biratnagar Exploration,Nepal,35000,4,2,Discover the culture and heritage of Biratnagar in eastern Nepal.,2/20/2024,2/23/2024
Dharan Getaway,Nepal,30000,3,1,Enjoy a peaceful retreat in the charming town of Dharan.,3/5/2024,3/7/2024
Chitlang Organic Farm Stay,Nepal,35000,3,2,Experience an organic farm stay in the picturesque village of Chitlang.,9/28/2023,9/30/2023
Biratnagar Cultural Exploration,Nepal,40000,4,2,Explore the cultural richness of Biratnagar in eastern Nepal.,10/15/2023,10/18/2023
Lukla Adventure,Nepal,45000,5,3,Begin your Everest trek from the iconic Lukla airstrip.,10/28/2023,11/1/2023
Kirtipur Heritage Tour,Nepal,30000,2,1,"Discover the rich heritage of Kirtipur, a historic town near Kathmandu.",11/10/2023,11/11/2023
Dhulikhel Panorama Retreat,Nepal,40000,4,2,"Enjoy panoramic mountain views from Dhulikhel, a hill station near Kathmandu.",11/25/2023,11/28/2023
Sukute Beach Getaway,Nepal,35000,3,2,Relax by the tranquil Sukute Beach on the banks of the Sunkoshi River.,12/10/2023,12/12/2023
Shivapuri National Park Trek,Nepal,55000,5,3,"Trek through the beautiful Shivapuri National Park, north of Kathmandu.",12/25/2023,12/29/2023
Nagarjun National Park Hike,Nepal,30000,3,1,Explore the pristine Nagarjun National Park near Kathmandu.,1/10/2024,1/12/2024
Jomsom Himalayan Adventure,Nepal,75000,6,2,Explore the stunning landscapes of Jomsom and the Annapurna region.,9/28/2023,10/3/2023
Itahari Cultural Experience,Nepal,35000,4,2,Immerse in the culture and heritage of Itahari in eastern Nepal.,10/15/2023,10/18/2023
Kagbeni Village Trek,Nepal,60000,5,3,Trek to the picturesque Kagbeni village in the Mustang region.,10/28/2023,11/1/2023
Mount Manaslu Expedition,Nepal,185000,12,4,"Embark on an epic expedition to Mount Manaslu, the world's eighth-highest peak.",11/10/2023,11/21/2023
Narayangarh Wildlife Safari,Nepal,45000,4,2,Experience a thrilling wildlife safari near Narayangarh.,11/25/2023,11/28/2023
Sashwat Dham Spiritual Retreat,Nepal,30000,3,1,Find inner peace at the serene Sashwat Dham spiritual retreat.,12/10/2023,12/12/2023
Nuwakot Heritage Tour,Nepal,40000,4,2,Discover the historical sites and cultural heritage of Nuwakot.,12/25/2023,12/28/2023
Bandipur Hill Station Escape,Nepal,35000,3,2,"Enjoy the serene atmosphere of Bandipur, a charming hill station.",1/10/2024,1/12/2024
Daman Panoramic View Retreat,Nepal,30000,3,1,Witness breathtaking panoramic views of the Himalayas from Daman.,1/25/2024,1/27/2024
Gorkha Historical Exploration,Nepal,40000,4,2,Explore the historical sites and cultural heritage of Gorkha.,2/10/2024,2/13/2024
Bharatpur Bird Watching Tour,Nepal,35000,3,2,Discover the diverse birdlife of Bharatpur and Chitwan National Park.,2/25/2024,2/27/2024
Pathivara Temple Pilgrimage,Nepal,45000,5,2,Embark on a pilgrimage to the sacred Pathivara Temple in Taplejung.,3/10/2024,3/14/2024
Rupakot Resort Getaway,Nepal,125000,4,2,Relax at the luxurious Rupakot Resort overlooking Lake Begnas.,9/28/2023,10/1/2023
Pokhara Paragliding Adventure,Nepal,65000,3,2,Soar high over the beautiful landscapes of Pokhara.,10/15/2023,10/17/2023
Langtang Valley Trek,Nepal,85000,7,2,Trek through the stunning Langtang Valley in Nepal.,10/28/2023,11/3/2023
Muktinath Pilgrimage Tour,Nepal,55000,5,1,Embark on a spiritual journey to the sacred Muktinath Temple.,11/10/2023,11/14/2023
Bandipur Cultural Retreat,Nepal,40000,4,2,Immerse in the culture of the picturesque town of Bandipur.,11/25/2023,11/28/2023
Tansen Hill Station Escape,Nepal,30000,3,1,Enjoy the tranquility of Tansen Hill Station in Nepal.,12/10/2023,12/12/2023
Gosaikunda Lake Expedition,Nepal,75000,7,3,Trek to the sacred Gosaikunda Lake in Langtang.,12/25/2023,1/2/2024
Everest Base Camp Trek,Nepal,175000,14,4,Trek to the iconic Everest Base Camp in the Himalayas.,1/15/2024,1/28/2024
Bardia National Park Safari,Nepal,90000,4,2,Discover the wildlife of Bardia National Park in Nepal.,2/5/2024,2/8/2024
Upper Dolpo Wilderness Trek,Nepal,185000,10,4,Explore the remote and pristine Upper Dolpo region.,2/20/2024,2/29/2024
Tilocho Lake Expedition,Nepal,100000,5,2,Trek to the beautiful Tilocho Lake in the Annapurna region.,3/15/2024,3/19/2024
Chitwan Wildlife Safari,Nepal,80000,4,2,Experience a thrilling wildlife safari in Chitwan.,3/30/2024,4/2/2024
Mardi Himal Trek,Nepal,95000,6,2,Trek to the breathtaking Mardi Himal in the Annapurna region.,4/15/2024,4/20/2024
Poon Hill Trek,Nepal,65000,5,2,Trek to the beautiful Poon Hill for panoramic mountain views.,4/30/2024,5/4/2024
Rara Lake Adventure,Nepal,145000,5,3,Explore the pristine beauty of Rara Lake in the Far West.,5/15/2024,5/19/2024
Dolpo Wilderness Expedition,Nepal,200000,12,4,Embark on a challenging expedition to the remote Dolpo region.,5/30/2024,6/10/2024
Kathmandu Tour Package From Delhi,Nepal,"39,070.00",4,1,Explore Kathmandu - the Capital city of Nepal,9/28/2023,10/1/2023
Kathmandu Sightseeing Tour,Nepal,"32,585.00",6,1,Embark on this ultimate vacation to Nepal,10/10/2023,10/15/2023
6 Days Nepal Tour Package,Nepal,"60,847.00",6,1,Embark on this ultimate tour to Nepal starting from Gorakhpur,10/20/2023,10/25/2023
Nepal Tour Package from Gorakhpur,Nepal,"79,261.00",6,1,Nepal Tour Package from Gorakhpur,11/5/2023,11/10/2023
5 Days Kathmandu Pokhara Tour Package,Nepal,"48,838.00",5,1,Have a fun family time on this tour to Nepal,11/15/2023,11/19/2023
7 Days Nepal Tour Package For Family,Nepal,"67,252.00",7,1,7 Days Nepal Tour Package For Family,11/25/2023,12/1/2023
8 Days Sightseeing Tour Of Nepal,Nepal,"109,685.00",8,1,Satiate the adventurer in you by indulging in adrenaline activities,12/5/2023,12/12/2023
Adventure in Pokhara,Nepal,"48,021.55",4,1,Adventure in Pokhara,12/15/2023,12/18/2023
Everest Base Camp Trek,Nepal,"97,892.54",12,1,Allure the Exotic Views of Mt. Everest,12/22/2023,1/2/2024
Annapurna Base Camp Trek,Nepal,"75,257.24",9,1,The mountains are the last place where Traveler can feel truly wild - Annapurna Base Camp,1/10/2024,1/18/2024
Everest Base Camp Trek: Leadership Expedition,Nepal,"160,125.20",16,1,Everest Base Camp Trek: Leadership Expedition,1/25/2024,2/10/2024
Ghorepani Poon Hill Trek,Nepal,"340,000.00",7,1,"Ghorepani Poon Hill Trek, Nepal",2/15/2024,2/21/2024
Pokhara Thulakot Hill Day Hike,Nepal,"720,500.00",1,1,"Pokhara Thulakot Hill Day Hike, Nepal",2/28/2024,2/28/2024
Sarangkot Sunrise View Tour,Nepal,"3,600,570.00",1,1,Sarangkot Sunrise View Tour,12/12/2023,3/10/2024
Trek to Helambu in Kathmandu,Nepal,"65,915.54",9,1,9 Days Trek to Helambu in Kathmandu,3/20/2024,3/28/2024
Trek from Ghorepani to Ghandruk,Nepal,"65,262.23",8,1,8 Days Trek from Ghorepani to Ghandruk,4/5/2024,4/12/2024
International Mountain Museum Tour,Nepal,"12,000.00",1,1,Explore the rich history of mountain climbing at the International Mountain Museum in Pokhara,4/20/2024,4/20/2024
Helambu Trek,Nepal,"45,500.00",6,1,Trek through the picturesque Helambu region and experience its unique culture and landscapes,5/5/2024,5/10/2024
White Water Rafting Adventure,Nepal,"25,000.00",2,1,Experience thrilling white water rafting on Nepal's wild rivers,6/1/2024,6/2/2024
Mera Peak Climbing Expedition,Nepal,"150,000.00",14,1,Embark on an exciting climbing expedition to the majestic Mera Peak,6/15/2024,6/28/2024
Durbar Square Heritage Tour,Nepal,"5,000.00",1,1,Explore the historical Durbar Square in the heart of Kathmandu,7/10/2024,7/10/2024
Romantic Paris Getaway,France,"800,000",5,2,Fall in love all over again in the City of Love,12/10/2023,12/14/2023
Maldives Island Paradise,Maldives,"450,000",7,2,Relax on pristine beaches in the Maldives,1/15/2024,1/21/2024
Kyoto Cultural Immersion,Japan,"128,000",6,2,Explore the rich culture of Kyoto,2/20/2024,2/25/2024
New York City Adventure,USA,"1,000,000",5,2,Discover the iconic landmarks of NYC,3/15/2024,3/19/2024
Santorini Island Retreat,Greece,"800,000",8,2,Enjoy the beauty of Santorini,4/10/2024,4/17/2024
Serengeti Safari Expedition,Tanzania,"900,000",6,2,Witness the wildlife of the Serengeti,5/5/2024,5/10/2024
Cultural Journey through Machu Picchu,Peru,"380,000",9,2,Explore the ancient ruins of Machu Picchu,6/20/2024,6/28/2024
Caribbean Cruise Adventure,Caribbean,"400,200",10,2,Sail through the Caribbean islands,7/15/2024,7/25/2024
Halong Bay Cruise Adventure,Vietnam,"800,000",3,2,Sail through stunning limestone karsts in Halong Bay,9/28/2023,9/30/2023
Sundarbans Mangrove Safari,Bangladesh,"700,000",4,2,Explore unique wildlife in the Sundarbans,10/10/2023,10/13/2023
Taj Mahal & Rajasthan Tour,India,"950,000",8,2,Visit the Taj Mahal and explore Rajasthan,11/5/2023,11/12/2023
Northern Pakistan Adventure,Pakistan,"700,000",7,2,Adventure through Northern Pakistan,11/20/2023,11/26/2023
Dubai Luxury Getaway,UAE,"1,200,000",6,2,Experience luxury in Dubai,12/10/2023,12/15/2023
South Africa Safari Expedition,South Africa,"1,000,000",10,2,Explore the wildlife of South Africa,1/5/2024,1/15/2024
Explore the Beauty of Sweden,Sweden,"700,000",7,2,Discover the picturesque landscapes of Sweden,2/15/2024,2/21/2024
Norwegian Fjords Adventure,Norway,"850,000",8,2,Cruise through Norway's stunning fjords,3/10/2024,3/17/2024
Arctic Wilderness Exploration,Finland,"900,000",9,2,Explore the Arctic wilderness of Finland,4/5/2024,4/13/2024
Cultural Delights of Hanoi,Vietnam,"600,000",5,2,Explore the rich culture and history of Hanoi,9/25/2023,9/29/2023
Chittagong Hill Tracts Adventure,Bangladesh,"750,000",6,2,Trek through the scenic Chittagong Hill Tracts,10/15/2023,10/20/2023
Kerala Backwaters Houseboat Experience,India,"800,000",4,2,Cruise through Kerala's serene backwaters,11/10/2023,11/13/2023
Bhutan Cultural Immersion,Bhutan,"900,000",7,2,Discover Bhutan's unique culture and traditions,12/5/2023,12/11/2023
Abu Dhabi Desert Safari,UAE,"700,000",3,2,Experience a thrilling desert safari in Abu Dhabi,1/20/2024,1/22/2024
Cape Town Wine Tour,South Africa,"850,000",5,2,Explore the renowned wineries of Cape Town,2/15/2024,2/19/2024
Stockholm Archipelago Cruise,Sweden,"750,000",4,2,Cruise through Stockholm's beautiful archipelago,3/10/2024,3/13/2024
Northern Lights Adventure,Norway,"950,000",7,2,Chase the Northern Lights in Norway,4/8/2024,4/14/2024
Lapland Winter Wonderland,Finland,"800,000",6,2,Experience the enchanting Lapland in winter,5/5/2024,5/10/2024
Angkor Wat Discovery,Cambodia,"850,000",5,2,Explore the ancient temples of Angkor Wat,9/30/2023,10/4/2023
Sri Lankan Wildlife Safari,Sri Lanka,"700,000",7,2,Witness diverse wildlife in Sri Lanka,10/15/2023,10/21/2023
Santorini Island Getaway,Greece,"950,000",6,2,Enjoy a romantic getaway in Santorini,11/10/2023,11/15/2023
Egypt Pyramids Expedition,Egypt,"800,000",8,2,Explore the iconic Pyramids of Egypt,12/5/2023,12/12/2023
Tokyo City Explorer,Japan,"750,000",4,2,Discover the vibrant culture of Tokyo,1/20/2024,1/24/2024
Swiss Alps Adventure,Switzerland,"900,000",7,2,Experience the stunning Swiss Alps,2/15/2024,2/21/2024
Barcelona & Costa Brava Tour,Spain,"850,000",6,2,Explore the vibrant city of Barcelona,3/10/2024,3/16/2024
Lisbon & Porto Discovery,Portugal,"700,000",8,2,Discover the beauty of Lisbon and Porto,4/8/2024,4/15/2024
Paris City of Romance,France,"950,000",5,2,Experience the romantic charm of Paris,5/5/2024,5/9/2024
New York City Discovery,USA,"950,000",6,2,Explore the iconic attractions of New York City,2/15/2024,2/21/2024
Swiss Chocolate and Alps Tour,Switzerland,"700,000",7,2,Taste Swiss chocolate and enjoy the Alps,3/10/2024,3/15/2024
Athens and Greek Islands Adventure,Greece,"850,000",8,2,Explore Athens and the beautiful Greek Islands,4/8/2024,4/14/2024
Rome and Florence Art Exploration,Italy,"750,000",7,2,Discover art and history in Rome and Florence,5/5/2024,5/11/2024
Copenhagen Cultural Experience,Denmark,"750,000",5,2,Immerse yourself in the culture of Copenhagen,9/28/2023,10/2/2023
Amsterdam Canals and Museums Tour,Netherlands,"700,000",4,2,Explore the canals and museums of Amsterdam,10/15/2023,10/18/2023
Reykjavik Adventure,Iceland,"850,000",6,2,Discover the natural wonders of Reykjavik,11/5/2023,11/10/2023
Caribbean Islands Getaway,West Indies,"900,000",8,2,Relax on the beautiful Caribbean islands,12/10/2023,12/18/2023
Amazon Rainforest Expedition,Ecuador,"800,000",7,2,Explore the biodiversity of the Amazon,1/15/2024,1/21/2024
Angel Falls Adventure,Venezuela,"600,000",5,2,Visit the world's highest waterfall in Venezuela,2/20/2024,2/24/2024
Cancun Beach Paradise,Mexico,"750,000",6,2,Enjoy the sun and beaches of Cancun,3/15/2024,3/20/2024
Luang Prabang Cultural Exploration,Laos,"700,000",5,2,"Discover the culture of Luang Prabang, Laos",4/10/2024,4/14/2024
Copenhagen Culinary Journey,Denmark,"850,000",6,2,Savor the flavors of Danish cuisine in Copenhagen,9/25/2023,9/30/2023
Amsterdam Art and Canal Cruise,Netherlands,"750,000",5,2,Explore art and cruise the canals of Amsterdam,10/10/2023,10/14/2023
Iceland Highlands Expedition,Iceland,"900,000",8,2,Trek through Iceland's stunning highlands,11/5/2023,11/13/2023
Caribbean Cruise Adventure,West Indies,"1,000,000",10,2,Sail to multiple Caribbean islands,12/15/2023,12/25/2023
Galapagos Islands Wildlife Exploration,Ecuador,"950,000",9,2,Encounter unique wildlife in the Galapagos,1/20/2024,1/29/2024
Andes Mountain Trek,Venezuela,"800,000",7,2,Trek through the stunning Andes Mountains,2/25/2024,3/3/2024
Yucatan Peninsula Discovery,Mexico,"750,000",6,2,Explore the ancient ruins of the Yucatan,3/20/2024,3/26/2024
Laos River Adventure,Laos,"700,000",5,2,Embark on a river adventure in Laos,4/15/2024,4/19/2024
Copenhagen Christmas Market Tour,Denmark,"700,000",4,2,Experience the festive Christmas markets in Copenhagen,9/28/2023,10/1/2023
Dutch Tulip Fields and Windmills Tour,Netherlands,"800,000",6,2,Explore colorful tulip fields and iconic windmills,10/20/2023,10/26/2023
Magical Iceland Winter Adventure,Iceland,"900,000",7,2,Discover the magic of Iceland in winter,11/15/2023,11/21/2023
Caribbean Yacht Charter,West Indies,"1,000,000",9,2,Charter a yacht and explore the Caribbean,12/20/2023,12/28/2023
Amazon Rainforest Discovery,Ecuador,"750,000",8,2,Explore the Amazon rainforest's biodiversity,1/25/2024,2/1/2024
Angel Falls Expedition,Venezuela,"850,000",6,2,"Trek to Angel Falls, the world's highest waterfall",2/28/2024,3/5/2024
Mexico City Cultural Experience,Mexico,"700,000",5,2,Immerse in the cultural richness of Mexico City,3/25/2024,3/29/2024
Laos Hill Tribe Encounter,Laos,"600,000",7,2,Connect with local hill tribes in Laos,4/20/2024,4/26/2024
Singapore City Exploration,Singapore,"700,000",5,2,Discover the vibrant city of Singapore,9/25/2023,9/29/2023
Moroccan Desert Adventure,Morocco,"800,000",7,2,Experience the Sahara Desert in Morocco,10/15/2023,10/21/2023
Istanbul and Cappadocia Delights,Turkey,"900,000",8,2,Explore the cultural treasures of Turkey,11/10/2023,11/18/2023
Chilean Patagonia Expedition,Chile,"950,000",10,2,Trek through the stunning Patagonian landscapes,12/5/2023,12/15/2023
Antarctica Expedition,Antarctica,"1,000,000",12,2,Journey to the icy wonders of Antarctica,1/15/2024,1/26/2024
Croatian Adriatic Coast Cruise,Croatia,"750,000",7,2,Cruise along the beautiful Adriatic coast,2/20/2024,2/26/2024
Maltese Islands Discovery,Malta,"700,000",6,2,Explore the historical and scenic beauty of Malta,3/15/2024,3/20/2024
Faroe Islands Adventure,Faroe Islands,"850,000",8,2,Discover the rugged beauty of the Faroe Islands,4/10/2024,4/18/2024
Italian Riviera and Tuscany Escape,Italy,"900,000",9,2,Enjoy the charm of the Italian Riviera and Tuscany,5/5/2024,5/14/2024
Singapore Family Fun Adventure,Singapore,"750,000",6,2,A family-friendly adventure in Singapore,9/28/2023,10/3/2023
Moroccan Medina Exploration,Morocco,"700,000",5,2,Wander through the bustling medinas of Morocco,10/20/2023,10/24/2023
Istanbul and Aegean Coast Odyssey,Turkey,"850,000",7,2,Explore Istanbul and the stunning Aegean coast,11/15/2023,11/21/2023
Chilean Wine Country Retreat,Chile,"800,000",6,2,Savor Chilean wines in the beautiful wine country,12/10/2023,12/15/2023
Antarctic Peninsula Expedition,Antarctica,"950,000",9,2,Explore the pristine Antarctic Peninsula,1/25/2024,2/2/2024
Dalmatian Islands Sailing Adventure,Croatia,"700,000",5,2,Sail through the enchanting Dalmatian Islands,2/28/2024,3/4/2024
Malta History and Culture Tour,Malta,"750,000",6,2,Dive into Malta's rich history and culture,3/25/2024,3/30/2024
Faroe Islands Hiking Expedition,Faroe Islands,"850,000",7,2,Embark on a hiking adventure in the Faroe Islands,4/20/2024,4/26/2024
Italian Art and Architecture Discovery,Italy,"900,000",8,2,Explore Italy's renowned art and architecture,5/15/2024,5/22/2024
Singapore Adventure and Wildlife Safari,Singapore,"750,000",6,2,Experience adventure and wildlife in Singapore,9/28/2023,10/3/2023
Moroccan Atlas Mountain Trek,Morocco,"800,000",7,2,Trek through the Atlas Mountains in Morocco,10/15/2023,10/21/2023
Turkey Hot Air Balloon and Cappadocia,Turkey,"900,000",8,2,Soar in a hot air balloon over Cappadocia,11/10/2023,11/18/2023
Chilean Lake District Discovery,Chile,"950,000",10,2,Explore the stunning lakes of the Chilean Lake District,12/5/2023,12/15/2023
Antarctic Peninsula Expedition,Antarctica,"1,000,000",12,2,Journey to the icy wonders of the Antarctic Peninsula,1/15/2024,1/26/2024
Croatian Island Hopping Adventure,Croatia,"750,000",7,2,Hop among Croatia's picturesque islands,2/20/2024,2/26/2024
Malta History and Culture Tour,Malta,"700,000",6,2,Dive into Malta's rich history and culture,3/15/2024,3/20/2024
Faroe Islands Hiking Expedition,Faroe Islands,"850,000",8,2,Embark on a hiking adventure in the Faroe Islands,4/10/2024,4/18/2024
Italian Riviera and Tuscany Escape,Italy,"900,000",9,2,Enjoy the charm of the Italian Riviera and Tuscany,5/5/2024,5/14/2024
Parisian Elegance,France,"750,000",6,2,Experience the romantic charm of Paris.,10/10/2023,10/15/2023
NYC Broadway Extravaganza,USA,"900,000",7,2,Enjoy the glitz and glamour of Broadway shows in NYC.,11/5/2023,11/12/2023
Tokyo Adventure,Japan,"850,000",8,2,Explore vibrant neighborhoods and ancient temples in Tokyo.,1/15/2024,1/22/2024
Roman Holiday,Italy,"700,000",5,2,Discover the rich history of Rome and its iconic landmarks.,2/20/2024,2/24/2024
Caribbean Paradise,Mexico,"950,000",9,2,"Relax in the beautiful beaches of Cancún, Mexico.",3/20/2024,3/29/2024
London Explorer,United Kingdom,"850,000",7,2,"Explore the historic landmarks of London, UK.",4/5/2024,4/11/2024
Sydney Adventure,Australia,"800,000",8,2,"Discover the beauty of Sydney, Australia.",5/15/2024,5/22/2024
Rio de Janeiro Escape,Brazil,"950,000",10,2,"Experience the vibrant culture of Rio de Janeiro, Brazil.",6/10/2024,6/20/2024
Athens Odyssey,Greece,"700,000",6,2,"Immerse yourself in ancient history in Athens, Greece.",7/5/2024,7/10/2024
Cape Town Safari,South Africa,"900,000",9,2,"Embark on a safari adventure in Cape Town, South Africa.",8/20/2024,8/29/2024
Santorini Getaway,Greece,"750,000",6,2,Explore the stunning island of Santorini in Greece.,9/10/2024,9/15/2024
Kyoto Serenity,Japan,"800,000",7,2,"Discover the peaceful beauty of Kyoto, Japan.",10/5/2024,10/11/2024
Dubai Luxury Retreat,UAE,"900,000",8,2,"Experience luxury and opulence in Dubai, UAE.",11/15/2024,11/22/2024
Patagonia Expedition,Argentina,"950,000",10,2,"Explore the breathtaking landscapes of Patagonia, Argentina.",12/10/2024,12/20/2024
Amsterdam Culture,Netherlands,"700,000",5,2,"Dive into the rich cultural scene of Amsterdam, Netherlands.",1/15/2025,1/19/2025
Vienna Cultural Tour,Austria,"850,000",7,2,"Immerse yourself in the cultural delights of Vienna, Austria.",2/20/2025,2/27/2025
Serengeti Safari,Tanzania,"950,000",9,2,"Witness the incredible wildlife of the Serengeti, Tanzania.",3/15/2025,3/24/2025
Santorini Romance,Greece,"750,000",6,2,"Enjoy a romantic getaway on the beautiful island of Santorini, Greece.",4/10/2025,4/15/2025
Machu Picchu Adventure,Peru,"900,000",8,2,"Embark on an adventure to the ancient ruins of Machu Picchu, Peru.",5/5/2025,5/12/2025
Prague Explorer,Czech Republic,"700,000",5,2,"Explore the charming streets of Prague, Czech Republic.",6/20/2025,6/24/2025
Barcelona Getaway,Spain,"750,000",6,2,"Explore the vibrant streets of Barcelona, Spain.",7/10/2025,7/15/2025
Bali Beach Retreat,Indonesia,"850,000",7,2,"Relax on the beautiful beaches of Bali, Indonesia.",8/5/2025,8/12/2025
Egyptian Adventure,Egypt,"900,000",8,2,Discover the wonders of ancient Egypt.,9/20/2025,9/28/2025
Buenos Aires Tango,Argentina,"700,000",5,2,"Experience the vibrant tango culture in Buenos Aires, Argentina.",10/15/2025,10/19/2025
Prague Christmas,Czech Republic,"800,000",7,2,Celebrate Christmas in the magical city of Prague.,11/20/2025,11/27/2025
Maldives Paradise,Maldives,"950,000",9,2,Indulge in a luxurious paradise in the Maldives.,12/10/2025,12/19/2025
Sydney Opera House Escape,Australia,"780,000",6,2,"Experience the iconic Sydney Opera House and explore the vibrant city of Sydney, Australia.",9/30/2023,10/5/2023
Rio Carnival Extravaganza,Brazil,"720,000",5,2,Join the world-famous Rio Carnival and immerse yourself in Brazil's colorful culture.,10/10/2023,10/14/2023
Historic Athens Tour,Greece,"690,000",7,2,"Explore the rich history of Athens, Greece, and visit ancient landmarks.",10/25/2023,11/1/2023
Dubai Luxury Getaway,UAE,"900,000",6,2,"Indulge in luxury and explore the stunning cityscape of Dubai, UAE.",11/15/2023,11/20/2023
Tokyo Tech Adventure,Japan,"750,000",7,2,Dive into Tokyo's tech culture and explore futuristic attractions.,12/5/2023,12/12/2023
Parisian Romance,France,"850,000",6,2,Experience the romance of Paris with your loved one.,12/20/2023,12/25/2023
New Year's Eve in New York,USA,"950,000",5,2,"Welcome the New Year in Times Square, New York City, with a spectacular celebration.",12/31/2023,1/5/2024
Swiss Alps Adventure,Switzerland,"820,000",7,2,Embark on an adventure in the stunning Swiss Alps.,1/15/2024,1/22/2024
Amazon Rainforest Expedition,Brazil,"880,000",8,2,Explore the Amazon rainforest and discover its unique biodiversity.,2/5/2024,2/12/2024
Santorini Honeymoon,Greece,"790,000",6,2,"Enjoy a romantic honeymoon on the enchanting island of Santorini, Greece.",2/20/2024,2/25/2024
Swiss Chocolate Tour,Switzerland,"720,000",5,2,Savor Swiss chocolate and explore the picturesque Swiss countryside.,3/10/2024,3/15/2024
Bali Surfing Adventure,Indonesia,"670,000",7,2,"Ride the waves and enjoy a thrilling surfing adventure in Bali, Indonesia.",3/25/2024,4/1/2024
Machu Picchu Expedition,Peru,"890,000",8,2,Trek to the awe-inspiring Machu Picchu ruins in Peru.,4/10/2024,4/17/2024
Istanbul Grand Tour,Turkey,"720,000",7,2,"Explore the historical wonders of Istanbul, Turkey.",5/5/2024,5/12/2024
Serengeti Safari,Tanzania,"950,000",9,2,"Witness the incredible wildlife of the Serengeti, Tanzania.",5/20/2024,5/29/2024
Kyoto Cherry Blossom Tour,Japan,"790,000",6,2,"Experience the beauty of cherry blossoms in Kyoto, Japan.",6/10/2024,6/15/2024
Mediterranean Cruise,Greece,"920,000",10,2,Sail through the Mediterranean and explore its coastal treasures.,6/25/2024,7/5/2024
Prague Summer Escape,Czech Republic,"710,000",6,2,Enjoy a summer escape in the charming city of Prague.,7/15/2024,7/20/2024
African Safari Adventure,Kenya,"850,000",8,2,Embark on a thrilling safari adventure in Kenya's wildlife reserves.,8/5/2024,8/13/2024
